,FIPS,race,location
0,170318371002012,P1_004N,POINT (-87.6985193916014 41.884546649195535)
1,170318371002012,P1_004N,POINT (-87.69786629661081 41.88540178166122)
2,170318371002012,P1_004N,POINT (-87.69777342714283 41.88512994567412)
3,170318371002012,P1_004N,POINT (-87.69786331939939 41.885067953647564)
4,170318371002012,P1_003N,POINT (-87.69845022445018 41.88464303882935)
5,170318371002012,P1_019N,POINT (-87.69762348077427 41.88460428070439)
6,170318371002012,P1_004N,POINT (-87.69823475079666 41.88427053946097)
7,170318371002012,P1_003N,POINT (-87.69841425287312 41.884207462553256)
8,170318371002012,P1_004N,POINT (-87.69779119868404 41.884456268814944)
9,170318371002012,P1_003N,POINT (-87.6981803269462 41.88460033282103)
10,170318371002012,P1_004N,POINT (-87.69844862043836 41.8844770720753)
11,170318371002012,P1_011N,POINT (-87.69807721470069 41.8842288718852)
12,170318371002012,P1_003N,POINT (-87.69756964965869 41.885120474818315)
13,170318371002012,P1_004N,POINT (-87.69794159564798 41.88432861987886)
14,170318371002012,P1_004N,POINT (-87.69765546085797 41.88535229650388)
15,170318371002012,P1_004N,POINT (-87.69836900372785 41.884546219505474)
16,170318371002012,P1_011N,POINT (-87.69769169944914 41.88520627602189)
17,170318371002012,P1_004N,POINT (-87.69779506664788 41.884223331790714)
18,170318371002012,P1_004N,POINT (-87.69841376575356 41.88443768166469)
19,170318371002012,P1_004N,POINT (-87.69841263702432 41.88428619076832)
20,170318371002012,P1_004N,POINT (-87.69787723620729 41.88544349311266)
21,170318371002012,P1_013N,POINT (-87.69762172142102 41.8852471139446)
22,170318371002012,P1_003N,POINT (-87.69776174873749 41.88466135974678)
23,170318371002012,P1_011N,POINT (-87.69781828175505 41.88538953959202)
24,170318371002012,P1_004N,POINT (-87.69883366290415 41.88457236800711)
25,170318371002012,P1_015N,POINT (-87.69818221079983 41.88441713986488)
26,170318371002012,P1_004N,POINT (-87.6978627128069 41.88453451066876)
27,170318371002012,P1_013N,POINT (-87.69812935783698 41.88430291977098)
28,170318371002012,P1_015N,POINT (-87.69780952743106 41.88429075052927)
29,170318371002012,P1_019N,POINT (-87.69836442581988 41.88421361821069)
30,170318371002012,P1_004N,POINT (-87.69763614054713 41.88498865496919)
31,170318371002012,P1_003N,POINT (-87.69760948642963 41.88447028137654)
32,170318371002012,P1_004N,POINT (-87.69857308128728 41.884586739797065)
33,170318371002012,P1_011N,POINT (-87.6987063538751 41.88466135371057)
34,170318371002012,P1_015N,POINT (-87.6977135818723 41.88468635966903)
35,170318371002012,P1_003N,POINT (-87.69777187325296 41.885185356592416)
36,170318371002012,P1_004N,POINT (-87.69768285573336 41.88546004105373)
37,170318371002012,P1_011N,POINT (-87.69827513370697 41.88447073369943)
38,170318371002012,P1_004N,POINT (-87.6977424221429 41.88468984609735)
39,170318371002012,P1_004N,POINT (-87.69761932863176 41.88456524263687)
40,170318371002012,P1_019N,POINT (-87.6982267394538 41.884463484967526)
41,170318371002012,P1_004N,POINT (-87.69778495974946 41.8844515934418)
42,170318371002012,P1_003N,POINT (-87.69790356802034 41.88538834372066)
43,170318371002012,P1_003N,POINT (-87.69873347719408 41.884443220674314)
44,170318371002012,P1_004N,POINT (-87.6975634191016 41.88520995597823)
45,170318371002012,P1_004N,POINT (-87.69848810631805 41.88434520181607)
46,170318371002012,P1_011N,POINT (-87.69871511644533 41.88455701933485)
47,170318371002012,P1_003N,POINT (-87.69754344860719 41.884420236398164)
48,170318371002012,P1_006N,POINT (-87.69837254878149 41.88429386757846)
49,170318371002012,P1_003N,POINT (-87.69810391125604 41.88458099783879)
50,170318371002012,P1_004N,POINT (-87.69770587397768 41.88455948689668)
51,170318371002012,P1_004N,POINT (-87.69778105767703 41.8843232527548)
52,170318371002012,P1_011N,POINT (-87.69784767360001 41.88479672437817)
53,170318371002012,P1_003N,POINT (-87.69757014977004 41.88520100933052)
54,170318371002012,P1_004N,POINT (-87.69794638931803 41.884380794688944)
55,170318371002012,P1_011N,POINT (-87.69759355044464 41.88507972271654)
56,170318371002012,P1_015N,POINT (-87.69777955611796 41.88513974628897)
57,170318371002012,P1_003N,POINT (-87.6982266796411 41.88434766137073)
58,170318371002012,P1_004N,POINT (-87.6988082225182 41.88465067344043)
59,170318371002012,P1_013N,POINT (-87.69827218616237 41.88430496378743)
60,170318371002012,P1_003N,POINT (-87.69809198714675 41.88422604038368)
61,170318371002012,P1_004N,POINT (-87.69779684927757 41.884846963458074)
62,170318371002012,P1_003N,POINT (-87.69776484674337 41.88458049613644)
63,170318371002012,P1_019N,POINT (-87.69829647092921 41.88417757379987)
64,170318371002012,P1_004N,POINT (-87.69769948520045 41.88493247528455)
65,170318371002012,P1_011N,POINT (-87.69840573606817 41.88463504733781)
66,170318371002012,P1_004N,POINT (-87.69763945795076 41.88474530528201)
67,170318371002012,P1_004N,POINT (-87.69763266972443 41.88494878443674)
68,170318371002012,P1_006N,POINT (-87.69856163442911 41.88460819056777)
69,170318371002012,P1_003N,POINT (-87.69817442623491 41.88464135599578)
70,170318371002012,P1_003N,POINT (-87.69774911864734 41.884880119623176)
71,170318371002012,P1_003N,POINT (-87.69804069517984 41.88420249611865)
72,170318371002012,P1_004N,POINT (-87.69789192043902 41.88486696000394)
73,170318371002012,P1_004N,POINT (-87.6981208574633 41.88440921553983)
74,170318371002012,P1_003N,POINT (-87.69766523389931 41.885380691668814)
75,170318371002012,P1_013N,POINT (-87.69798448604226 41.88461256363874)
76,170318371002012,P1_004N,POINT (-87.69756930129891 41.88478965248349)
77,170318371002012,P1_019N,POINT (-87.69823844475746 41.88448808811764)
78,170318371002012,P1_004N,POINT (-87.6976793972064 41.88461237739433)
79,170318371002012,P1_015N,POINT (-87.69806449946623 41.88440256655111)
80,170318371002012,P1_013N,POINT (-87.69837097448828 41.88469243190186)
81,170318371002012,P1_004N,POINT (-87.69761615372902 41.88493080015103)
82,170318371002012,P1_004N,POINT (-87.69757380509273 41.88501788891032)
83,170318371002012,P1_013N,POINT (-87.69770291798491 41.88445706568835)
84,170318371002012,P1_003N,POINT (-87.69848014241843 41.88462356968722)
85,170318371002012,P1_013N,POINT (-87.69798526327348 41.88419828522917)
86,170318371002012,P1_004N,POINT (-87.69866258367693 41.88441126886941)
87,170318371002012,P1_011N,POINT (-87.69883246397612 41.884382651465565)
88,170318371002012,P1_003N,POINT (-87.6982148541642 41.884649468943124)
89,170318371002012,P1_004N,POINT (-87.69848457297441 41.88455170829769)
90,170318371002012,P1_004N,POINT (-87.69870131326168 41.884641465063)
91,170318371002012,P1_011N,POINT (-87.69799229264461 41.88445433857952)
92,170318371002012,P1_004N,POINT (-87.69758762369688 41.8848246863362)
93,170318371002012,P1_013N,POINT (-87.69833474199547 41.88453037431206)
94,170318371002012,P1_003N,POINT (-87.69819640010566 41.88441019698722)
95,170318371002012,P1_004N,POINT (-87.6976244503833 41.885129499634154)
96,170318371002012,P1_003N,POINT (-87.69760644484596 41.884962242858286)
97,170318371002012,P1_011N,POINT (-87.69755781381107 41.88464304204675)
98,170318371002012,P1_004N,POINT (-87.6976535560651 41.88532942457248)
99,170318371002012,P1_003N,POINT (-87.69793610705337 41.88447327542871)
100,170318371002012,P1_004N,POINT (-87.69857397656409 41.88421503339234)
101,170318371002012,P1_004N,POINT (-87.69791375807388 41.88463826311153)
102,170318371002012,P1_006N,POINT (-87.69815231892555 41.884435189166474)
103,170318371002012,P1_004N,POINT (-87.69757369414543 41.885413208184055)
104,170318371002012,P1_004N,POINT (-87.69868832361342 41.88463196958054)
105,170318371002012,P1_013N,POINT (-87.6976489937354 41.884300696836696)
106,170318371002012,P1_004N,POINT (-87.69772118428874 41.88527163120904)
107,170318371002012,P1_004N,POINT (-87.69851521450583 41.88457665616132)
108,170318371002012,P1_003N,POINT (-87.69757296524422 41.8848365263973)
109,170318371002012,P1_013N,POINT (-87.6986137962257 41.88450772432964)
110,170318371002012,P1_004N,POINT (-87.69766569270618 41.88426855006824)
111,170318371002012,P1_004N,POINT (-87.69847103394224 41.884216748820286)
112,170318371002012,P1_004N,POINT (-87.69802292288581 41.88423417669464)
113,170318371002012,P1_004N,POINT (-87.6981261689914 41.88421310092963)
114,170318371002012,P1_004N,POINT (-87.69833321094043 41.88422440203426)
115,170318371002012,P1_004N,POINT (-87.69769896892778 41.8842719035407)
116,170318371002012,P1_004N,POINT (-87.69851412363671 41.884551247584284)
117,170318371002012,P1_004N,POINT (-87.69795965419998 41.884258365864596)
118,170318371002012,P1_004N,POINT (-87.69758565758198 41.885343122613065)
119,170318371002012,P1_004N,POINT (-87.69846187603518 41.884703576898325)
120,170318371002012,P1_015N,POINT (-87.69780945985568 41.88485591385393)
121,170318371002012,P1_004N,POINT (-87.69757573272048 41.8846501251078)
122,170318371002012,P1_004N,POINT (-87.69772994675607 41.88543211541846)
123,170318371002012,P1_004N,POINT (-87.69831120572668 41.88459297421995)
124,170318371002012,P1_011N,POINT (-87.6984517552062 41.884598809099685)
125,170318371002012,P1_004N,POINT (-87.69843005145785 41.88430124812239)
126,170318371002012,P1_019N,POINT (-87.69856296957904 41.88439330819463)
127,170318371002012,P1_011N,POINT (-87.69776544964374 41.88432214633338)
128,170318371002012,P1_003N,POINT (-87.69794455374725 41.88455883107667)
129,170318371002012,P1_003N,POINT (-87.69790749795074 41.88546259844655)
130,170318371002012,P1_004N,POINT (-87.69831054490342 41.884681997894845)
131,170318371002012,P1_019N,POINT (-87.69759079965019 41.88473078605851)
132,170318371002012,P1_004N,POINT (-87.69797328334153 41.88446111385104)
133,170318371002012,P1_004N,POINT (-87.6979911580019 41.88454640964918)
134,170318371002012,P1_004N,POINT (-87.6988290863693 41.88424948301844)
135,170318371002012,P1_019N,POINT (-87.69852863717554 41.88441193186351)
136,170318371002012,P1_003N,POINT (-87.69771831528782 41.88433469609074)
137,170318371002012,P1_004N,POINT (-87.69800860950883 41.884474984705925)
138,170318371002012,P1_004N,POINT (-87.69786562029168 41.884431934108285)
139,170318371002012,P1_004N,POINT (-87.69832286575904 41.88454380197584)
140,170318371002012,P1_004N,POINT (-87.69867192147885 41.8844182926494)
141,170318371002012,P1_011N,POINT (-87.69759556212142 41.88440289111259)
142,170318371002012,P1_004N,POINT (-87.69802427283781 41.88430437175819)
143,170318371002012,P1_006N,POINT (-87.69785046729541 41.884676982139645)
144,170318371002012,P1_015N,POINT (-87.69872823384438 41.88453406235678)
145,170318371002012,P1_003N,POINT (-87.69781825264795 41.88434195916606)
