FIPS,race,lon,lat,income
170010001001000,P1_003N,-91.3450512472966,39.96614550499168,34556
170010001001000,P1_003N,-91.3408991601763,39.967732507159354,35071
170010001001000,P1_003N,-91.33251678003515,39.968195838858904,36082
170010001001000,P1_003N,-91.34295361992804,39.96656989317095,34096
170010001001000,P1_003N,-91.33077643999401,39.96505472279929,37032
170010001001000,P1_003N,-91.33611376157295,39.96638872436676,34656
170010001001000,P1_003N,-91.33884315763349,39.96840594399256,37571
170010001001000,P1_003N,-91.33146610431474,39.96471873220934,36482
170010001001000,P1_003N,-91.34737547119025,39.96518285810547,33496
170010001001000,P1_003N,-91.34320548266284,39.965873812403615,37732
170010001001000,P1_003N,-91.33212403724075,39.968897043595476,36156
170010001001000,P1_003N,-91.33089112649665,39.96495006477193,35271
170010001001000,P1_003N,-91.33307885390832,39.970315440830944,34382
170010001001000,P1_003N,-91.34377907944484,39.96443690495258,36796
170010001001001,P1_003N,-91.35546594914663,39.95779489896241,35256
170010001001001,P1_003N,-91.35714902726107,39.95800589105795,35171
